Tanggal;Waktu (WIB);Lintang;Bujur;Kedalaman;Magnitude;Keterangan;Dirasakan
31/08/2024;21:14:37;-8.66;116.3;109;2.3;6 km TimurLaut LOMBOKTENGAH-NTB;
31/08/2024;23:13:13;-8.67;117.15;155;2.4;26 km Tenggara PERNANG-NTB;
01/09/2024;22:55:40;-8.63;116.21;98;1.4;9 km TimurLaut LOMBOKBARAT-NTB;
01/09/2024;21:14:13;-8.63;116.23;98;1.6;9 km BaratLaut LOMBOKTENGAH-NTB;
02/09/2024;16:07:58;-8.86;114.97;95;3.3;29 km BaratDaya KUTASELATAN-BALI;
02/09/2024;05:00:22;-8.7;116.17;96;2.2;4 km Tenggara LOMBOKBARAT-NTB;
06/09/2024;04:03:43;-8.66;116.22;93;2.1;7 km BaratLaut LOMBOKTENGAH-NTB;
07/09/2024;00:14:56;-8.66;116.18;89;2;5 km TimurLaut LOMBOKBARAT-NTB;
08/09/2024;01:52:18;-8.74;116.12;75;2.2;6 km BaratDaya LOMBOKBARAT-NTB;
08/09/2024;15:52:36;-8.56;114.6;88;3;23 km Tenggara JEMBRANA-BALI;
08/09/2024;22:59:43;-8.65;116.3;92;2.2;7 km TimurLaut LOMBOKTENGAH-NTB;
10/09/2024;02:11:15;-8.63;115.96;120;1.8;20 km BaratLaut LOMBOKBARAT-NTB;
12/09/2024;23:09:28;-8.63;116.33;88;1.4;10 km TimurLaut LOMBOKTENGAH-NTB;
12/09/2024;14:08:05;-8.73;113.55;107;2.9;60 km BaratDaya JEMBER-JATIM;
14/09/2024;08:48:46;-9.66;116.24;68;3.5;106 km BaratDaya LOMBOKTENGAH-NTB;
16/09/2024;07:36:23;-8.22;115.23;227;3.2;19 km Tenggara BULELENG-BALI;
17/09/2024;09:46:22;-8.67;115.97;152;2.2;18 km BaratLaut LOMBOKBARAT-NTB;
23/09/2024;04:29:28;-8.6;115.01;94;3;14 km BaratDaya TABANAN-BALI;
24/09/2024;21:24:39;-7.94;113.74;240;2;18 km BaratLaut BONDOWOSO-JATIM;
25/09/2024;02:47:26;-8.53;114.35;92;1.8;34 km BaratDaya BANYUWANGI-JATIM;
25/09/2024;18:45:56;-8.78;115.29;108;2;7 km TimurLaut KUTASELATAN-BALI;
26/09/2024;12:07:08;-8.1;116.11;117;1.9;29 km BaratLaut LOMBOKUTARA-NTB;
27/09/2024;11:37:06;-8.86;113.69;64;2.4;74 km Tenggara JEMBER-JATIM;
27/09/2024;23:03:27;-8.67;116.01;85;2.3;14 km BaratLaut LOMBOKBARAT-NTB;
27/09/2024;20:10:33;-8.66;116.23;88;2.5;6 km BaratLaut LOMBOKTENGAH-NTB;
27/09/2024;23:51:22;-8.67;116.2;91;1.9;7 km TimurLaut LOMBOKBARAT-NTB;
27/09/2024;10:18:24;-9.22;113.6;94;2.7;113 km BaratDaya JEMBER-JATIM;
28/09/2024;17:54:55;-9.81;116.2;80;2.8;122 km BaratDaya LOMBOKTENGAH-NTB;
30/09/2024;16:40:12;-8.4;114.63;92;2;6 km Tenggara JEMBRANA-BALI;
01/10/2024;23:55:33;-7.25;116.01;64;2.3;124 km BaratLaut LOMBOKUTARA-NTB;
